venue,tau_bin,gap_bin,n,b_mean,b_std,spread_med
okx,240,30,42,0.9080952380952381,0.02380900580156594,0.12
okx,300,-27.5,59,0.05541525423728813,0.02304365282914389,0.037
okx,300,-20,5,0.1022,0.042149436532414056,0.089
okx,300,-17.5,19,0.12110526315789474,0.03891250118584017,0.06
okx,300,-15,8,0.080875,0.026144857456650464,0.0695
okx,300,-12.5,57,0.133,0.025812683759290578,0.08
okx,300,-10,133,0.12623308270676692,0.03678477270969218,0.11
okx,300,-7.5,199,0.15690954773869348,0.06367231340417022,0.09999999999999999
okx,300,-5,484,0.25424586776859504,0.06283501914476068,0.12
okx,300,-2.5,992,0.32892137096774193,0.058152656431029445,0.14999999999999997
okx,300,0,1296,0.4438472222222222,0.05621726503513748,0.14
okx,300,2.5,1227,0.5538264058679706,0.05606859019308143,0.14000000000000007
okx,300,5,923,0.6627518959913327,0.06369591350440414,0.14
okx,300,7.5,479,0.7579227557411273,0.0654571651109069,0.12
okx,300,10,218,0.7769724770642201,0.06138200380462424,0.08999999999999997
okx,300,12.5,98,0.82,0.05570078383279389,0.08999999999999997
okx,300,15,80,0.8532500000000001,0.03641445672020719,0.07000000000000006
okx,300,17.5,135,0.8748888888888889,0.04984852677753427,0.05999999999999994
okx,300,20,66,0.8328787878787879,0.050146405700329154,0.07999999999999996
okx,300,22.5,28,0.8728571428571429,0.022253945610567465,0.08999999999999997
okx,300,25,7,0.88,0.026925824035672542,0.030000000000000027
okx,300,30,1,0.9099999999999999,,0.05999999999999994
polymarket,15,-20,6,0.505,0.0,0.010000000000000009
polymarket,15,-17.5,11,0.505,0.0,0.010000000000000009
polymarket,15,-12.5,51,0.505,0.0,0.010000000000000009
polymarket,15,-10,69,0.505,0.0,0.010000000000000009
polymarket,15,-7.5,15,0.545,0.10562737740350678,0.010000000000000009
polymarket,15,-5,108,0.5467592592592593,0.11116695118136592,0.010000000000000009
polymarket,15,-2.5,91,0.5576923076923077,0.24436119405992657,0.010000000000000009
polymarket,15,0,130,0.6248461538461538,0.2301195665465521,0.010000000000000009
polymarket,15,2.5,143,0.42912587412587416,0.16448630522783703,0.010000000000000009
polymarket,15,5,187,0.4709625668449198,0.1516375974381577,0.010000000000000009
polymarket,15,7.5,40,0.49325,0.110241866959741,0.010000000000000009
polymarket,15,10,51,0.505,0.0,0.010000000000000009
polymarket,15,12.5,28,0.49964285714285717,0.007319250547114011,0.010000000000000009
polymarket,15,15,23,0.5017391304347826,0.006326117517549774,0.010000000000000009
polymarket,15,17.5,20,0.5035000000000001,0.004616902584383222,0.010000000000000009
polymarket,15,30,17,0.505,0.0,0.010000000000000009
polymarket,30,-20,20,0.505,0.0,0.010000000000000009
polymarket,30,-17.5,1,0.505,,0.010000000000000009
polymarket,30,-15,30,0.505,0.0,0.010000000000000009
polymarket,30,-12.5,46,0.505,0.0,0.010000000000000009
polymarket,30,-10,59,0.505,0.0,0.010000000000000009
polymarket,30,-7.5,80,0.484375,0.08978657887922585,0.010000000000000009
polymarket,30,-5,110,0.5161363636363636,0.04321728274591023,0.010000000000000009
polymarket,30,-2.5,139,0.46679856115107915,0.3203875637605297,0.010000000000000009
polymarket,30,0,319,0.580564263322884,0.28245720125847956,0.010000000000000009
polymarket,30,2.5,312,0.5743108974358975,0.2358744205298346,0.010000000000000009
polymarket,30,5,144,0.5831493055555556,0.2583390876257764,0.010000000000000009
polymarket,30,7.5,128,0.585703125,0.17080372118680515,0.010000000000000009
polymarket,30,10,58,0.5006034482758621,0.0068874145460293065,0.010000000000000009
polymarket,30,12.5,5,0.49000000000000005,0.0,0.020000000000000018
