ts_ms,window_start_ms,tau_s,direction,best_ev,ev_a,ev_b,raw_edge_a,raw_edge_b,p_band,pm_is_low_target,up_ask,down_ask,up_ask_okx,down_ask_okx,target_px,target_px_okx,gap_bps,gap_bps_okx,book_age_ms,book_age_ms_okx
1787848056500,1787847900000,143.5,okxUP+pmDOWN,0.03577180000000002,-0.17474120000000015,0.03577180000000002,-0.17474120000000015,0.03577180000000002,0.0,false,0.83,0.18,0.77,0.33,80495.12183254676,80490.1,5.23616850092266,5.031674702851655,1,193
1787848057000,1787847900000,143.0,okxUP+pmDOWN,0.03577180000000002,-0.17474120000000015,0.03577180000000002,-0.17474120000000015,0.03577180000000002,0.0,false,0.83,0.18,0.77,0.33,80495.12183254676,80490.1,5.236049184994198,5.031674702851655,5,693
1787848057500,1787847900000,142.5,okxUP+pmDOWN,0.03577180000000002,-0.22506019999999993,0.03577180000000002,-0.22506019999999993,0.03577180000000002,0.0,false,0.83,0.18,0.77,0.38,80495.12183254676,80490.1,5.2339646051306845,5.031674702851655,11,94
1787848058001,1787847900000,141.999,okxUP+pmDOWN,0.03577180000000002,-0.22506019999999993,0.03577180000000002,-0.22506019999999993,0.03577180000000002,0.0,false,0.83,0.18,0.77,0.38,80495.12183254676,80490.1,5.2339646051306845,5.019250814695742,5,595
1787848058500,1787847900000,141.5,okxUP+pmDOWN,0.026473199999999864,-0.2345911999999999,0.026473199999999864,-0.2345911999999999,0.026473199999999864,0.0,false,0.84,0.17,0.79,0.38,80495.12183254676,80490.1,5.2339646051306845,5.019250814695742,1,93
1787848059000,1787847900000,141.0,okxUP+pmDOWN,0.026473199999999864,-0.22453619999999996,0.026473199999999864,-0.22453619999999996,0.026473199999999864,0.0,false,0.84,0.17,0.79,0.37,80495.12183254676,80490.1,5.20858000959981,5.019250814695742,0,93
1787848059501,1787847900000,140.499,okxUP+pmDOWN,0.016602999999999923,-0.22453619999999996,0.016602999999999923,-0.22453619999999996,0.016602999999999923,0.0,false,0.84,0.17,0.8,0.37,80495.12183254676,80490.1,5.20858000959981,5.031674702851655,6,395
1787848060000,1787847900000,140.0,okxUP+pmDOWN,0.016602999999999923,-0.22453619999999996,0.016602999999999923,-0.22453619999999996,0.016602999999999923,0.0,false,0.84,0.17,0.8,0.37,80495.12183254676,80490.1,5.195871918031679,5.031674702851655,3,894
1787848060500,1787847900000,139.5,okxUP+pmDOWN,0.016602999999999923,-0.2144767999999999,0.016602999999999923,-0.2144767999999999,0.016602999999999923,0.0,false,0.84,0.17,0.8,0.36,80495.12183254676,80490.1,5.195871918031679,5.031674702851655,13,94
1787848061000,1787847900000,139.0,okxUP+pmDOWN,0.016602999999999923,-0.2144767999999999,0.016602999999999923,-0.2144767999999999,0.016602999999999923,0.0,false,0.84,0.17,0.8,0.36,80495.12183254676,80490.1,5.195871918031679,5.031674702851655,3,94
1787848061500,1787847900000,138.5,okxUP+pmDOWN,0.037555000000000005,-0.24355619999999978,0.037555000000000005,-0.24355619999999978,0.037555000000000005,0.0,false,0.86,0.15,0.8,0.37,80495.12183254676,80490.1,5.195871918031679,5.031674702851655,2,94
1787848062000,1787847900000,138.0,okxUP+pmDOWN,0.037555000000000005,-0.23349680000000017,0.037555000000000005,-0.23349680000000017,0.037555000000000005,0.0,false,0.86,0.15,0.8,0.36,80495.12183254676,80490.1,5.180404653304647,5.031674702851655,4,94
1787848062500,1787847900000,137.5,okxUP+pmDOWN,0.02768919999999997,-0.23349680000000017,0.02768919999999997,-0.23349680000000017,0.02768919999999997,0.0,false,0.86,0.15,0.81,0.36,80495.12183254676,80490.1,5.560952931622105,5.031674702851655,0,94
1787848063000,1787847900000,137.0,okxUP+pmDOWN,0.037555000000000005,-0.23349680000000017,0.037555000000000005,-0.23349680000000017,0.037555000000000005,0.0,false,0.86,0.15,0.8,0.36,80495.12183254676,80490.1,5.560952931622105,5.031674702851655,4,93
